p1: 1 43, p2: 109 40
p1: 109 39, p2: 258 37
p1: 258 36, p2: 388 36
p1: 388 35, p2: 408 35
p1: 408 34, p2: 664 28
p1: 1 395, p2: 57 379
p1: 57 379, p2: 79 409
p1: 1 416, p2: 26 408
p1: 9 454, p2: 78 430
p1: 1 465, p2: 17 498
p1: 15 415, p2: 37 416
p1: 21 498, p2: 6 467
p1: 25 140, p2: 6 142
p1: 40 494, p2: 59 486
p1: 31 407, p2: 51 399
p1: 36 59, p2: 39 80
p1: 37 46, p2: 41 74
p1: 43 103, p2: 45 121
p1: 47 114, p2: 43 89
p1: 48 367, p2: 40 328
p1: 37 310, p2: 25 230
p1: 61 498, p2: 78 490
p1: 67 405, p2: 82 427
p1: 69 436, p2: 35 447
p1: 35 447, p2: 19 454
p1: 78 378, p2: 81 398
p1: 76 424, p2: 61 402
p1: 78 372, p2: 71 328
p1: 72 328, p2: 68 310
p1: 68 302, p2: 64 279
p1: 66 269, p2: 155 251
p1: 83 488, p2: 113 476
p1: 107 469, p2: 87 477
p1: 79 174, p2: 58 177
p1: 81 493, p2: 115 478
p1: 89 417, p2: 169 391
p1: 168 372, p2: 167 350
p1: 167 350, p2: 157 258
p1: 168 247, p2: 188 244
p1: 197 241, p2: 232 235
p1: 238 232, p2: 298 220
p1: 304 219, p2: 364 208
p1: 89 341, p2: 91 361
p1: 92 366, p2: 96 391
p1: 87 413, p2: 67 273
p1: 72 270, p2: 155 254
p1: 90 444, p2: 108 467
p1: 91 174, p2: 93 192
p1: 96 424, p2: 155 403
p1: 97 336, p2: 99 359
p1: 115 71, p2: 113 50
p1: 122 105, p2: 119 81
p1: 121 132, p2: 124 153
p1: 125 359, p2: 129 383
p1: 128 160, p2: 124 134
p1: 133 304, p2: 135 326
p1: 138 77, p2: 120 76
p1: 116 79, p2: 118 96
p1: 145 294, p2: 148 321
p1: 150 265, p2: 133 269
p1: 161 236, p2: 121 245
p1: 182 393, p2: 222 380
p1: 258 366, p2: 287 357
p1: 182 54, p2: 185 72
p1: 187 414, p2: 203 429
