1:: x: 1, y: 43
2:: x: 2, y: 43
3:: x: 3, y: 42
4:: x: 4, y: 42
5:: x: 5, y: 42
6:: x: 6, y: 42
7:: x: 7, y: 42
8:: x: 8, y: 42
9:: x: 9, y: 42
10:: x: 10, y: 42
11:: x: 11, y: 42
12:: x: 12, y: 42
13:: x: 13, y: 42
14:: x: 14, y: 42
15:: x: 15, y: 42
16:: x: 16, y: 42
17:: x: 17, y: 42
18:: x: 18, y: 42
19:: x: 19, y: 42
20:: x: 20, y: 42
21:: x: 21, y: 42
22:: x: 22, y: 42
23:: x: 23, y: 42
24:: x: 24, y: 42
25:: x: 25, y: 42
26:: x: 26, y: 42
27:: x: 27, y: 42
28:: x: 28, y: 42
29:: x: 29, y: 42
30:: x: 30, y: 42
31:: x: 31, y: 42
32:: x: 32, y: 42
33:: x: 33, y: 42
34:: x: 34, y: 42
35:: x: 35, y: 42
36:: x: 36, y: 42
37:: x: 37, y: 42
38:: x: 38, y: 42
39:: x: 39, y: 42
40:: x: 40, y: 42
41:: x: 41, y: 41
42:: x: 42, y: 41
43:: x: 43, y: 42
44:: x: 44, y: 42
45:: x: 45, y: 42
46:: x: 46, y: 41
47:: x: 47, y: 41
48:: x: 48, y: 41
49:: x: 49, y: 41
50:: x: 50, y: 41
51:: x: 51, y: 41
52:: x: 52, y: 41
53:: x: 53, y: 41
54:: x: 54, y: 41
55:: x: 55, y: 41
56:: x: 56, y: 41
57:: x: 57, y: 41
58:: x: 58, y: 41
59:: x: 59, y: 41
60:: x: 60, y: 41
61:: x: 61, y: 41
62:: x: 62, y: 41
63:: x: 63, y: 41
64:: x: 64, y: 41
65:: x: 65, y: 41
66:: x: 66, y: 41
67:: x: 67, y: 41
68:: x: 68, y: 41
69:: x: 69, y: 41
70:: x: 70, y: 41
71:: x: 71, y: 41
72:: x: 72, y: 41
73:: x: 73, y: 41
74:: x: 74, y: 41
75:: x: 75, y: 40
76:: x: 76, y: 40
77:: x: 77, y: 40
78:: x: 78, y: 40
79:: x: 79, y: 40
80:: x: 80, y: 40
81:: x: 81, y: 40
82:: x: 82, y: 40
83:: x: 83, y: 40
84:: x: 84, y: 40
85:: x: 85, y: 40
86:: x: 86, y: 40
87:: x: 87, y: 40
88:: x: 88, y: 40
89:: x: 89, y: 40
90:: x: 90, y: 40
91:: x: 91, y: 40
92:: x: 92, y: 40
93:: x: 93, y: 40
94:: x: 94, y: 40
95:: x: 95, y: 40
96:: x: 96, y: 40
97:: x: 97, y: 40
98:: x: 98, y: 40
99:: x: 99, y: 40
100:: x: 100, y: 40
101:: x: 101, y: 40
102:: x: 102, y: 40
103:: x: 103, y: 40
104:: x: 104, y: 40
105:: x: 105, y: 40
106:: x: 106, y: 40
107:: x: 107, y: 40
108:: x: 108, y: 40
109:: x: 109, y: 39
110:: x: 110, y: 39
111:: x: 111, y: 39
112:: x: 112, y: 39
113:: x: 113, y: 39
114:: x: 114, y: 39
115:: x: 115, y: 39
116:: x: 116, y: 39
117:: x: 117, y: 39
118:: x: 118, y: 39
119:: x: 119, y: 39
120:: x: 120, y: 39
121:: x: 121, y: 39
122:: x: 122, y: 39
123:: x: 123, y: 39
124:: x: 124, y: 39
125:: x: 125, y: 39
126:: x: 126, y: 39
127:: x: 127, y: 39
128:: x: 128, y: 39
129:: x: 129, y: 39
130:: x: 130, y: 39
131:: x: 131, y: 39
132:: x: 132, y: 39
133:: x: 133, y: 39
134:: x: 134, y: 39
135:: x: 135, y: 39
136:: x: 136, y: 39
137:: x: 137, y: 39
138:: x: 138, y: 39
139:: x: 139, y: 39
140:: x: 140, y: 39
141:: x: 141, y: 39
142:: x: 142, y: 39
143:: x: 143, y: 39
144:: x: 144, y: 39
145:: x: 145, y: 39
146:: x: 146, y: 39
147:: x: 147, y: 39
148:: x: 148, y: 38
149:: x: 149, y: 38
150:: x: 150, y: 38
151:: x: 151, y: 38
152:: x: 152, y: 38
153:: x: 153, y: 38
154:: x: 154, y: 38
155:: x: 155, y: 38
156:: x: 156, y: 38
157:: x: 157, y: 38
158:: x: 158, y: 38
159:: x: 159, y: 38
160:: x: 160, y: 38
161:: x: 161, y: 38
162:: x: 162, y: 38
163:: x: 163, y: 38
164:: x: 164, y: 38
165:: x: 165, y: 38
166:: x: 166, y: 38
167:: x: 167, y: 38
168:: x: 168, y: 38
169:: x: 169, y: 38
170:: x: 170, y: 38
171:: x: 171, y: 38
172:: x: 172, y: 38
173:: x: 173, y: 38
174:: x: 174, y: 38
175:: x: 175, y: 38
176:: x: 176, y: 38
177:: x: 177, y: 38
178:: x: 178, y: 38
179:: x: 179, y: 38
180:: x: 180, y: 38
181:: x: 181, y: 38
182:: x: 182, y: 38
183:: x: 183, y: 38
184:: x: 184, y: 38
185:: x: 185, y: 38
186:: x: 186, y: 38
187:: x: 187, y: 38
188:: x: 188, y: 38
189:: x: 189, y: 38
190:: x: 190, y: 38
191:: x: 191, y: 38
192:: x: 192, y: 38
193:: x: 193, y: 38
194:: x: 194, y: 38
195:: x: 195, y: 38
196:: x: 196, y: 38
197:: x: 197, y: 38
198:: x: 198, y: 38
199:: x: 199, y: 38
200:: x: 200, y: 38
201:: x: 201, y: 38
202:: x: 202, y: 38
203:: x: 203, y: 38
204:: x: 204, y: 38
205:: x: 205, y: 37
206:: x: 206, y: 37
207:: x: 207, y: 37
208:: x: 208, y: 37
209:: x: 209, y: 37
210:: x: 210, y: 37
211:: x: 211, y: 37
212:: x: 212, y: 37
213:: x: 213, y: 37
214:: x: 214, y: 37
215:: x: 215, y: 37
216:: x: 216, y: 37
217:: x: 217, y: 37
218:: x: 218, y: 37
219:: x: 219, y: 37
220:: x: 220, y: 37
221:: x: 221, y: 37
222:: x: 222, y: 37
223:: x: 223, y: 37
224:: x: 224, y: 37
225:: x: 225, y: 37
226:: x: 226, y: 37
227:: x: 227, y: 37
228:: x: 228, y: 37
229:: x: 229, y: 37
230:: x: 230, y: 37
231:: x: 231, y: 37
232:: x: 232, y: 37
233:: x: 233, y: 37
234:: x: 234, y: 37
235:: x: 235, y: 37
236:: x: 236, y: 37
237:: x: 237, y: 37
238:: x: 238, y: 37
239:: x: 239, y: 37
240:: x: 240, y: 37
241:: x: 241, y: 37
242:: x: 242, y: 37
243:: x: 243, y: 37
244:: x: 244, y: 37
245:: x: 245, y: 37
246:: x: 246, y: 37
247:: x: 247, y: 37
248:: x: 248, y: 37
249:: x: 249, y: 37
250:: x: 250, y: 37
251:: x: 251, y: 37
252:: x: 252, y: 37
253:: x: 253, y: 37
254:: x: 254, y: 37
255:: x: 255, y: 37
256:: x: 256, y: 37
257:: x: 257, y: 37
258:: x: 258, y: 36
259:: x: 259, y: 36
260:: x: 260, y: 36
261:: x: 261, y: 37
262:: x: 262, y: 37
263:: x: 263, y: 37
264:: x: 264, y: 37
265:: x: 265, y: 36
266:: x: 266, y: 37
267:: x: 267, y: 37
268:: x: 268, y: 37
269:: x: 269, y: 37
270:: x: 270, y: 37
271:: x: 271, y: 36
272:: x: 272, y: 36
273:: x: 273, y: 36
274:: x: 274, y: 36
275:: x: 275, y: 36
276:: x: 276, y: 36
277:: x: 277, y: 36
278:: x: 278, y: 36
279:: x: 279, y: 36
280:: x: 280, y: 36
281:: x: 281, y: 36
282:: x: 282, y: 36
283:: x: 283, y: 36
284:: x: 284, y: 36
285:: x: 285, y: 36
286:: x: 286, y: 36
287:: x: 287, y: 36
288:: x: 288, y: 36
289:: x: 289, y: 36
290:: x: 290, y: 36
291:: x: 291, y: 36
292:: x: 292, y: 36
293:: x: 293, y: 36
294:: x: 294, y: 36
295:: x: 295, y: 36
296:: x: 296, y: 36
297:: x: 297, y: 36
298:: x: 298, y: 36
299:: x: 299, y: 36
300:: x: 300, y: 36
301:: x: 301, y: 36
302:: x: 302, y: 36
303:: x: 303, y: 36
304:: x: 304, y: 36
305:: x: 305, y: 36
306:: x: 306, y: 36
307:: x: 307, y: 36
308:: x: 308, y: 36
309:: x: 309, y: 36
310:: x: 310, y: 36
311:: x: 311, y: 36
312:: x: 312, y: 36
313:: x: 313, y: 36
314:: x: 314, y: 36
315:: x: 315, y: 36
316:: x: 316, y: 36
317:: x: 317, y: 36
318:: x: 318, y: 36
319:: x: 319, y: 36
320:: x: 320, y: 36
321:: x: 321, y: 36
322:: x: 322, y: 36
323:: x: 323, y: 36
324:: x: 324, y: 36
325:: x: 325, y: 36
326:: x: 326, y: 36
327:: x: 327, y: 36
328:: x: 328, y: 36
329:: x: 329, y: 36
330:: x: 330, y: 36
331:: x: 331, y: 36
332:: x: 332, y: 36
333:: x: 333, y: 36
334:: x: 334, y: 36
335:: x: 335, y: 36
336:: x: 336, y: 36
337:: x: 337, y: 36
338:: x: 338, y: 36
339:: x: 339, y: 36
340:: x: 340, y: 36
341:: x: 341, y: 36
342:: x: 342, y: 36
343:: x: 343, y: 36
344:: x: 344, y: 36
345:: x: 345, y: 36
346:: x: 346, y: 36
347:: x: 347, y: 36
348:: x: 348, y: 36
349:: x: 349, y: 36
350:: x: 350, y: 36
351:: x: 351, y: 36
352:: x: 352, y: 36
353:: x: 353, y: 36
354:: x: 354, y: 36
355:: x: 355, y: 36
356:: x: 356, y: 36
357:: x: 357, y: 36
358:: x: 358, y: 36
359:: x: 359, y: 36
360:: x: 360, y: 36
361:: x: 361, y: 36
362:: x: 362, y: 36
363:: x: 363, y: 36
364:: x: 364, y: 36
